"","update","seed","FIX","K","ED","MUT","TRD","VEL","edit_distance_mean","edit_distance_max","edit_distance_min","average_unique_genomes","alpha","beta","K_str","K_factor","FIX_str","ED_str","MUT_str","MUT_factor"
"40",0,505,0,5,0,0.001,0,0.1,80.135,88,71,100,-0.00136566773556664,0.000391949721504233,"K = 5","K = 5","Random NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"41",0,505,0,5,0,0.01,0,0.1,80.135,88,71,100,-0.00136566773556664,0.000391949721504233,"K = 5","K = 5","Random NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"42",0,505,0,5,0,0.1,0,0.1,80.135,88,71,100,-0.00136566773556664,0.000391949721504233,"K = 5","K = 5","Random NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"43",0,505,0,10,0,0.001,0,0.1,84.02,90,78,100,-0.00346350911356953,0.00114268278935624,"K = 10","K = 10","Random NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"44",0,505,0,10,0,0.01,0,0.1,84.02,90,78,100,-0.00346350911356953,0.00114268278935624,"K = 10","K = 10","Random NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"45",0,505,0,10,0,0.1,0,0.1,84.02,90,78,100,-0.00346350911356953,0.00114268278935624,"K = 10","K = 10","Random NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"46",0,505,1,3,0,0.001,0,0.1,75.63,84,63,100,0.00464077217612383,-0.00156469971748348,"K = 3","K = 3","Fixed NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"47",0,505,1,3,0,0.01,0,0.1,75.63,84,63,100,0.00464077217612383,-0.00156469971748348,"K = 3","K = 3","Fixed NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"48",0,505,1,3,0,0.1,0,0.1,75.63,84,63,100,0.00464077217612383,-0.00156469971748348,"K = 3","K = 3","Fixed NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"49",0,506,0,3,0,0.001,0,0.1,76.705,89,55,100,0.000738637577837854,-0.000286988628622823,"K = 3","K = 3","Random NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"50",0,506,0,3,0,0.01,0,0.1,76.705,89,55,100,0.000738637577837854,-0.000286988628622823,"K = 3","K = 3","Random NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"51",0,506,0,3,0,0.1,0,0.1,76.705,89,55,100,0.000738637577837854,-0.000286988628622823,"K = 3","K = 3","Random NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"52",0,506,0,5,0,0.001,0,0.1,79.585,89,72,100,-0.00758745945512256,0.00291432784448959,"K = 5","K = 5","Random NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"53",0,506,0,5,0,0.01,0,0.1,79.585,89,72,100,-0.00758745945512256,0.00291432784448959,"K = 5","K = 5","Random NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"54",0,506,0,5,0,0.1,0,0.1,79.585,89,72,100,-0.00758745945512256,0.00291432784448959,"K = 5","K = 5","Random NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"55",0,506,0,10,0,0.001,0,0.1,85.015,90,77,100,-0.000790988324523214,0.00055213501753237,"K = 10","K = 10","Random NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"56",0,506,0,10,0,0.01,0,0.1,85.015,90,77,100,-0.000790988324523214,0.00055213501753237,"K = 10","K = 10","Random NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"57",0,506,0,10,0,0.1,0,0.1,85.015,90,77,100,-0.000790988324523214,0.00055213501753237,"K = 10","K = 10","Random NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"58",0,506,1,3,0,0.001,0,0.1,74.02,82,63,100,0.00167423887430838,-0.000603137367753359,"K = 3","K = 3","Fixed NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"59",0,506,1,3,0,0.01,0,0.1,74.02,82,63,100,0.00167423887430838,-0.000603137367753359,"K = 3","K = 3","Fixed NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"60",0,506,1,3,0,0.1,0,0.1,74.02,82,63,100,0.00167423887430838,-0.000603137367753359,"K = 3","K = 3","Fixed NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"61",0,507,0,3,0,0.001,0,0.1,76.675,89,59,100,7.70104382249774e-05,-0.000151604740664082,"K = 3","K = 3","Random NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"62",0,507,0,3,0,0.01,0,0.1,76.675,89,59,100,7.70104382249774e-05,-0.000151604740664082,"K = 3","K = 3","Random NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"63",0,507,0,3,0,0.1,0,0.1,76.675,89,59,100,7.70104382249774e-05,-0.000151604740664082,"K = 3","K = 3","Random NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"64",0,507,0,5,0,0.001,0,0.1,81.765,88,72,100,-0.0101818109165122,0.00403112061919477,"K = 5","K = 5","Random NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"65",0,507,0,5,0,0.01,0,0.1,81.765,88,72,100,-0.0101818109165122,0.00403112061919477,"K = 5","K = 5","Random NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
